comment,Sentiment,processed,sentiment_fix
知乎上一大堆后悔生娃的奶爸奶妈,0,知乎上一大堆后悔生娃的奶爸奶妈,1
有钱，教育，医疗，要有人陪伴住房，好多,0,有钱教育医疗要有人陪伴住房好多,1
没钱,0,没钱,0
我结婚了我都能想象不结婚能有多快乐,0,我结婚了我都能想象不结婚能有多快乐,0
几亿人,2,几亿人,0.5
这版本还追男孩的怕不是家里有矿,0,这版本还追男孩的怕不是家里有矿,0
我老家 卧槽,0,我老家 卧槽,0.5
大快人心,2,大快人心,1
好好好,0,好好好,0
这个太真实了，我叔两个女儿，他没觉得有什么，但是长辈一直给压力，今年又生了个男孩,2,这个太真实了我叔两个女儿他没觉得有什么但是长辈一直给压力今年又生了个男孩,1
好,2,好,0
高房价是最好的避孕药,2,高房价是最好的避孕药,0.5
你说的这些只是门槛最本质是没钱，工资低没后续保障,0,你说的这些只是门槛最本质是没钱工资低没后续保障,0
我的快乐天平婚后人士体会不到,0,我的快乐天平婚后人士体会不到,0
相对妥协现实的选择,2,相对妥协现实的选择,1
可太快乐了,0,可太快乐了,0
太对啦,2,太对啦,0
80末，还没结婚,0,80末还没结婚,0
遥遥领先,2,遥遥领先,1
还是年轻好,0,还是年轻好,1
我服了你们这群老六了,0,我服了你们这群老六了,0
我的快乐 你们想象不到,0,我的快乐 你们想象不到,0
再卷啊？！！活该！！！,0,再卷啊活该,0
不要地域黑！不要地域黑！不要地域黑！,0,不要地域黑不要地域黑不要地域黑,0
說實話吧，除非只用生，不用養，要不然就很難提高哦。,0,說實話吧除非只用生不用養要不然就很難提高哦,0
当然快乐啊,0,当然快乐啊,0
我就想以后生个女儿,2,我就想以后生个女儿,0.5
保护,0,保护,0
学区房,2,学区房,0
这叫合理利用资源,0,这叫合理利用资源,0.5
那男的呢？,0,那男的呢,0
还有这么多沙雕,2,还有这么多沙雕,1
你根本不知道我有多快乐,0,你根本不知道我有多快乐,0
救护车，快叫救护车！,2,救护车快叫救护车,0
一辈子才几十年。最起码能快乐三十年,0,一辈子才几十年最起码能快乐三十年,0
说得挺好的，的确事实如此,2,说得挺好的的确事实如此,0.5
第一次看到说完再叠甲的哈哈哈哈,2,第一次看到说完再叠甲的哈哈哈哈,0.5
快乐啊当然快乐,0,快乐啊当然快乐,0
关注了,2,关注了,0.5
好！！！！！,2,好,0
好好好，很好,0,好好好很好,0.5
我不信,0,我不信,0
年轻人付费上班,0,年轻人付费上班,0
我有不同观点，我觉得这很大程度上是因为总体教育水平的提高,2,我有不同观点我觉得这很大程度上是因为总体教育水平的提高,1
和铁锤妹妹生三个，不三十个,0,和铁锤妹妹生三个不三十个,0
赢了,0,赢了,0
对滴，我觉得我在某种程度上来说功德无量,2,对滴我觉得我在某种程度上来说功德无量,1
5线城市一个月6千多没事钓钓鱼，舒服死了,0,5线城市一个月6千多没事钓钓鱼舒服死了,0
这才是根本原因,0,这才是根本原因,0
请和铁锤妹妹结婚,0,请和铁锤妹妹结婚,0
喜欢女儿,2,喜欢女儿,0.5
。,2,无内容,0
说出了我的心里话,2,说出了我的心里话,0
苏北那边也是,2,苏北那边也是,0
那必须快乐啊,0,那必须快乐啊,0
那是快乐上天了,0,那是快乐上天了,0
不要太爽,0,不要太爽,0
遥遥领先,2,遥遥领先,1
太好了！,2,太好了,0
没事我身边人挺多结婚生孩子的，我就不结了，多我一个不多少我一个不少,0,没事我身边人挺多结婚生孩子的我就不结了多我一个不多少我一个不少,0.5
不，我只觉得如果要生的话生女的我会很高兴，生儿子就是锻炼身体（狗头保命我是男生）,0,不我只觉得如果要生的话生女的我会很高兴生儿子就是锻炼身体狗头保命我是男生,1
自己也養不起，还谈什么恋爱,0,自己也養不起还谈什么恋爱,0.5
ip正确,2,ip正确,0.5
可确实是这样啊,0,可确实是这样啊,0
冲这个我直接两个币,0,冲这个我直接两个币,0
还是跑的太慢了,0,还是跑的太慢了,0
当环境不适合生存的时候，物种就会停止繁衍,0,当环境不适合生存的时候物种就会停止繁衍,1
太快乐了,0,太快乐了,0
 保护,0, 保护,0
后续呢？,0,后续呢,0
好！,2,好,0
心无羁绊身无篱.,0,心无羁绊身无篱,0.5
确实,0,确实,0
快乐吗？一个人不快乐结婚想好多人一起不快乐？个体快不快乐是这个社会影响的,0,快乐吗一个人不快乐结婚想好多人一起不快乐个体快不快乐是这个社会影响的,0
跟女权有什么关系？你来说说你挨打的问题,0,跟女权有什么关系你来说说你挨打的问题,0
保护,0,保护,0
如果个体的困顿和集体没有关联，那么集体的耻辱和个体又有什么关系呢?,0,如果个体的困顿和集体没有关联那么集体的耻辱和个体又有什么关系呢,1
嘤嘤嘤！赶日超韩,2,嘤嘤嘤赶日超韩,0
至少不痛苦,0,至少不痛苦,0
我事实说话 真的快乐 下班就打游戏 去超市只买自己喜欢吃的东西 赚的不多但是快乐很够,0,我事实说话 真的快乐 下班就打游戏 去超市只买自己喜欢吃的东西 赚的不多但是快乐很够,0
针不戳,0,针不戳,0
谈了三年，单了一年了，非常快乐,0,谈了三年单了一年了非常快乐,0
保护,0,保护,0
年轻人的心态都先老了，对未来的不确定性的恐惧,0,年轻人的心态都先老了对未来的不确定性的恐惧,1
太快乐了，爸妈领工资，我也领工资，美滋滋,0,太快乐了爸妈领工资我也领工资美滋滋,0
这里连字幕都不放了，太敏感了,0,这里连字幕都不放了太敏感了,0
保护,0,保护,0
一个月5000几个人花着舒服我还是知道的,0,一个月5000几个人花着舒服我还是知道的,0.5
共鸣,2,共鸣,0
我的75后80后朋友们不婚的也很快活,2,我的75后80后朋友们不婚的也很快活,0
现在这个社会就是钱的问题，没钱你毛都没有,0,现在这个社会就是钱的问题没钱你毛都没有,0
真的快乐啊 说不快乐的 难道不是90后？,0,真的快乐啊 说不快乐的 难道不是90后,0
通胀毁所有,0,通胀毁所有,0
哎呀，这不是我家吗？哈哈哈,0,哎呀这不是我家吗哈哈哈,0.5
怎么能说是被认为呢，客观上也是没安好心啊,0,怎么能说是被认为呢客观上也是没安好心啊,0
你是懂流量的,2,你是懂流量的,0
自己去看，去做，去听，去感受。当键盘侠谁都可以。,0,自己去看去做去听去感受当键盘侠谁都可以,0.5
干得漂亮,2,干得漂亮,0.5
社会动荡是性别比例的福分咯,2,社会动荡是性别比例的福分咯,1
好好好！！！！！,0,好好好,0
太好了，那我不结了,2,太好了那我不结了,0
漂亮,2,漂亮,0.5
愁是愁，但是真的开心了,2,愁是愁但是真的开心了,1
烦死了那么能产崽,0,烦死了那么能产崽,0
很正常，这就是思想进步，你看美国的基本都40岁左右结，这不仅仅体现了一个国家的思想状况同时也体现出了国家的经济能力就是说中国开始强了,2,很正常这就是思想进步你看美国的基本都40岁左右结这不仅仅体现了一个国家的思想状况同时也体现出了国家的经济能力就是说中国开始强了,1
哈哈,2,哈哈,0
让他们以后长大做男同去呗,2,让他们以后长大做男同去呗,0.5
我孤独但是别无选择,0,我孤独但是别无选择,0.5
保护,0,保护,0
三孩？？？,0,三孩,0
还有因为学校教育 一直都认为恋爱有碍于学习,2,还有因为学校教育 一直都认为恋爱有碍于学习,1
做梦,1,做梦,0
"没钱的啦,很蓝的啦,自己都过不自在,不想带另外两个人一起不自在",0,没钱的啦很蓝的啦自己都过不自在不想带另外两个人一起不自在,0
麻蛋怎么还有人生啊!有钱人还是多啊,0,麻蛋怎么还有人生啊有钱人还是多啊,0.5
说得对,2,说得对,0
我不生有的是人生,0,我不生有的是人生,0.5
80后好惨啊,0,80后好惨啊,0
哈哈哈,2,哈哈哈,0.5
对的,2,对的,0
真实,2,真实,0.5
怎么还有700万？,0,怎么还有700万,0.5
哈哈哈哈哈哈哈,2,哈哈哈哈哈哈哈,1
自己活着都费劲,0,自己活着都费劲,0.5
遥遥领先,2,遥遥领先,1
我不干有的是人干,0,我不干有的是人干,0
提升工资，降低物价,0,提升工资降低物价,0
有人没工作哪里好了？,0,有人没工作哪里好了,0
太多了  再少一半吧,0,太多了  再少一半吧,0
生存的话  男性更实用 只要不懒 下限有保障 至少能干体力活,2,生存的话  男性更实用 只要不懒 下限有保障 至少能干体力活,0.5
钱,0,钱,0
这种话真的很像道德绑架,0,这种话真的很像道德绑架,1
太早了,0,太早了,0.5
我支持年轻人们,2,我支持年轻人们,1
因为一部分中产返贫，所以劳动人口素质提高了,2,因为一部分中产返贫所以劳动人口素质提高了,0.5
还有这么多吗,0,还有这么多吗,0
？？？,0,无内容,0
不结婚就什么都不怕，结婚买房生娃，你就跪了,0,不结婚就什么都不怕结婚买房生娃你就跪了,0.5
？？,0,无内容,0
不不 86年的我表示对象都不找,0,不不 86年的我表示对象都不找,0
反正什么也没有，不像有房贷怕丢工作,0,反正什么也没有不像有房贷怕丢工作,0
遥遥领先,2,遥遥领先,1
保护,0,保护,0
男士,2,男士,0
快乐呀享受自我，一人吃饱全家不饿,0,快乐呀享受自我一人吃饱全家不饿,0
谢谢能说出来,2,谢谢能说出来,0
这是现代人缺德的表现，不是结婚与否的问题,0,这是现代人缺德的表现不是结婚与否的问题,1
他们是真的快乐,0,他们是真的快乐,0
经过后发现没人管和不用管别人很快乐,0,经过后发现没人管和不用管别人很快乐,0
好，以后能上上公立幼儿园了,2,好以后能上上公立幼儿园了,0.5
29了不生我不急,0,29了不生我不急,0
太快乐了,0,太快乐了,0
相当快乐啊，一个人吃喝穿不愁有车有房,0,相当快乐啊一个人吃喝穿不愁有车有房,0
太多啦,0,太多啦,0
结婚让人不幸,0,结婚让人不幸,0.5
有多少人领到不贴了，可以出来走走。再说那点钱够干啥。佩服生二，三胎的。,0,有多少人领到不贴了可以出来走走再说那点钱够干啥佩服生二三胎的,0
？,0,无内容,0
听君一席话如听一席话,2,听君一席话如听一席话,1
铺贴几万就生？？？,0,铺贴几万就生,0
人真的太多了，家人们,2,人真的太多了家人们,0
那是相当的快乐了,0,那是相当的快乐了,0
真的好快乐！！！！！,0,真的好快乐,0
所以男方呢？光女生婚后被说理由那么多，但是男方被说理由基本无非钱,0,所以男方呢光女生婚后被说理由那么多但是男方被说理由基本无非钱,0
为什么总有闹摊拿个例反驳普遍现象？,0,为什么总有闹摊拿个例反驳普遍现象,0
不低，小三占比更是不低,0,不低小三占比更是不低,0
我现在快不快乐不知道，但是结婚了肯定不快乐,0,我现在快不快乐不知道但是结婚了肯定不快乐,0
非常快乐！,0,非常快乐,0
我要是以后生个女儿，做梦都能笑醒……,2,我要是以后生个女儿做梦都能笑醒,0
绝了,2,绝了,0
这种破话题还能水几期？不过我爱看（,0,这种破话题还能水几期不过我爱看,0
你不干有的是人干,0,你不干有的是人干,0
指大学牲,2,指大学牲,0.5
儿孙自有儿孙福，没有儿孙我享福,2,儿孙自有儿孙福没有儿孙我享福,0.5
一个二孩补贴五千，呵呵……,0,一个二孩补贴五千呵呵,0
是的,2,是的,0
没毛病,0,没毛病,0
30离婚了，很快乐,0,30离婚了很快乐,0
对,2,对,0
二孩三孩占比这么高，说明生活富足的人确实挺不少的,0,二孩三孩占比这么高说明生活富足的人确实挺不少的,1
还能降,0,还能降,0
自己呢么苦了，不想有孩子受罪，我有错吗？,0,自己呢么苦了不想有孩子受罪我有错吗,0
两亿多老人,2,两亿多老人,0
我都87了，相当快乐,0,我都87了相当快乐,0
还有降低空间，同志们继续努力！,2,还有降低空间同志们继续努力,0
沪爷闭麦,2,沪爷闭麦,0
保护,0,保护,0
生了孩子都可能看不到未来了,0,生了孩子都可能看不到未来了,1
这是张爱玲的名言,2,这是张爱玲的名言,0
遥遥领先,2,遥遥领先,1
很快乐啊,0,很快乐啊,0
怎么还有那么多,0,怎么还有那么多,0
张爱玲说的,2,张爱玲说的,0
房子，价值观，大道理,2,房子价值观大道理,0.5
也代表我的看法,2,也代表我的看法,0.5
感谢审核,2,感谢审核,0
快乐得很,0,快乐得很,0
我的天啊，这个币我是投还是不投啊，投了怕视频没了，不投又可惜,0,我的天啊这个币我是投还是不投啊投了怕视频没了不投又可惜,0
快乐的不得了,0,快乐的不得了,0
保护！,0,保护,0
哈哈哈哈哈哈哈哈,2,哈哈哈哈哈哈哈哈,1
必须给币了,2,必须给币了,0
好,2,好,0
太棒了,2,太棒了,1
非常快乐,0,非常快乐,0
可不是咋滴～,0,可不是咋滴,0
太好了,2,太好了,0
保护,0,保护,0
弹幕没了？,0,弹幕没了,0
我恐婆家，恐七大姑八大姨，简单点就是恐旧思想，自己不被当人看,0,我恐婆家恐七大姑八大姨简单点就是恐旧思想自己不被当人看,0
快乐！,0,快乐,0
我身边亲戚朋友都盼女儿，几乎都生了两个，但都是儿子，之后不敢再生了,2,我身边亲戚朋友都盼女儿几乎都生了两个但都是儿子之后不敢再生了,0
问题不大,0,问题不大,0
不是一波人，不要一概而论,0,不是一波人不要一概而论,0
没贷款，想走就走,2,没贷款想走就走,0
遥遥领先,2,遥遥领先,1
难道不是么,0,难道不是么,0
前面那个避免和女性打交道的，感谢你，请尽量离女的远点～,0,前面那个避免和女性打交道的感谢你请尽量离女的远点,0.5
更卷。,2,更卷,0
一次性补贴没用。,0,一次性补贴没用,0
你这代表了广大年轻人的看法,0,你这代表了广大年轻人的看法,1
太多了,0,太多了,0
福建人表示正确,2,福建人表示正确,0.5
广西也是,2,广西也是,0.5
人间清醒,2,人间清醒,1
这视频的观点何尝不又是一种pua,0,这视频的观点何尝不又是一种pua,1
我属于这类人，但成不了家，没那个能力,0,我属于这类人但成不了家没那个能力,0
肯定快乐啊,0,肯定快乐啊,0
也是我的看法,2,也是我的看法,0
喜闻乐见,2,喜闻乐见,0
保护,0,保护,0
人生短短几十年，干嘛非要活得那么累,0,人生短短几十年干嘛非要活得那么累,0
那可太快乐了,0,那可太快乐了,0
来看五十万,2,来看五十万,0
不，是二十一世纪新青年集体共同的看法！,0,不是二十一世纪新青年集体共同的看法,1
非常之快乐,0,非常之快乐,0
太爽啦,0,太爽啦,0
赢了,0,赢了,0
还是太多了。。还得再降,0,还是太多了还得再降,0
做出这样的选择很明显结婚肯定不快乐,0,做出这样的选择很明显结婚肯定不快乐,0
笑死，去看看奶粉产能过剩有多严重,0,笑死去看看奶粉产能过剩有多严重,1
人家是不想，我是真没,0,人家是不想我是真没,0
木有钱，咋个结啊,0,木有钱咋个结啊,0
公务员才几个钱啊，上面管不了的，什么时候五年公务员合法收入是清华博士去华为一辈子不敢想的再说吧,0,公务员才几个钱啊上面管不了的什么时候五年公务员合法收入是清华博士去华为一辈子不敢想的再说吧,0
好！！,2,好,0
不去，睡觉呢,0,不去睡觉呢,0
不去,0,不去,0
只要不生，这些都与我无关。。,1,只要不生这些都与我无关,0
我还能吃着东西看你视频,2,我还能吃着东西看你视频,0
对,2,对,0
我确实是这样认为的，孩子生下来太受苦了，还不如不生呢,0,我确实是这样认为的孩子生下来太受苦了还不如不生呢,0
38了，快乐～,0,38了快乐,0
不生就对了,0,不生就对了,0
正确的，一针见血,2,正确的一针见血,0
遥遥领先,2,遥遥领先,1
我寻思某音里的人素质也不高啊,0,我寻思某音里的人素质也不高啊,0.5
遥遥领先,2,遥遥领先,1
混乱善良,0,混乱善良,0.5
哈哈哈 没毛病,2,哈哈哈 没毛病,0.5
国家也希望降，但不要太快,0,国家也希望降但不要太快,0
单身真的快乐！,0,单身真的快乐,0
还可以，比结婚快乐。,0,还可以比结婚快乐,0
我我我，都怪我！刷到这视频,0,我我我都怪我刷到这视频,0
还好我家很开放，讲究儿女双全，所以兄弟姐妹之间都很团结,2,还好我家很开放讲究儿女双全所以兄弟姐妹之间都很团结,1
不错！,2,不错,0.5
意思是低素质的老人都死了是吧,0,意思是低素质的老人都死了是吧,0
我现在爽得一批）,0,我现在爽得一批,0.5
我就是这种想法，毕竟我也只是普通人，生下来也只是凑数的,0,我就是这种想法毕竟我也只是普通人生下来也只是凑数的,1
结婚？为啥结婚，单身不好吗,0,结婚为啥结婚单身不好吗,0
我就想要女儿，养儿防不老我能不知道吗,2,我就想要女儿养儿防不老我能不知道吗,0
不急,2,不急,0
总结，人多得很，不怕,2,总结人多得很不怕,0.5
不是一般的快乐,0,不是一般的快乐,0
花了大价钱娶到的老婆，很快会出轨或离婚，甚至让你家破人亡,0,花了大价钱娶到的老婆很快会出轨或离婚甚至让你家破人亡,1
保护！,0,保护,0
传统思维模式和教育,2,传统思维模式和教育,1
还有八百万呢,0,还有八百万呢,0
必须点赞投币,2,必须点赞投币,0.5
说来说去还不是钱的问题,0,说来说去还不是钱的问题,0
同意,0,同意,0
哈哈哈，有道理,2,哈哈哈有道理,0.5
保护,0,保护,0
如果是三年前我还没破产的时候，我会考虑结婚，可我现在收入不到当时的三十分之一 我还怎么敢,0,如果是三年前我还没破产的时候我会考虑结婚可我现在收入不到当时的三十分之一 我还怎么敢,0
继续继续,2,继续继续,0
房价,0,房价,0
遥遥领先于同行,2,遥遥领先于同行,0.5
也就是还是人太多了太卷了,2,也就是还是人太多了太卷了,0
我想要女儿。。。。,2,我想要女儿,0.5
好耶！,2,好耶,0
太好了,2,太好了,0
生二娃就给个几千  。。这不是搞笑吗,0,生二娃就给个几千  这不是搞笑吗,0
这属于觉醒了,0,这属于觉醒了,0
一个人已经够累了，没精力再找个人折腾我,0,一个人已经够累了没精力再找个人折腾我,0
遥遥领先,2,遥遥领先,1
相当的快乐,0,相当的快乐,0
遥遥领先,2,遥遥领先,1
？,0,无内容,0
让有钱人使劲生,0,让有钱人使劲生,0
遥遥领先,2,遥遥领先,1
祝福这些新人,2,祝福这些新人,1
干得好,2,干得好,0
社会很单纯，复杂的是人,2,社会很单纯复杂的是人,1
单身挺自由的,0,单身挺自由的,1
No我才不要呢,0,No我才不要呢,0
遥遥领先,2,遥遥领先,1
不是快乐，是超级无敌快乐,0,不是快乐是超级无敌快乐,0
物质条件恐怕其次，精力被生存与无法满足的精神需求可能更重要,0,物质条件恐怕其次精力被生存与无法满足的精神需求可能更重要,1
去个球，累就休息,2,去个球累就休息,0
好阳刚！,2,好阳刚,0
保护,0,保护,0
没有工资谈何,0,没有工资谈何,0
卷怕了,2,卷怕了,0
这么多？,0,这么多,0
好！,2,好,0
保护,0,保护,0
太虚伪啦,0,太虚伪啦,0
人间清醒00后,2,人间清醒00后,1
tm的上完大学念研究生，等工作稳定了30都算岁数小的了,2,tm的上完大学念研究生等工作稳定了30都算岁数小的了,1
赞不去看别人痛苦去痛,2,赞不去看别人痛苦去痛,0.5
管好自己，咸吃萝卜淡操心,0,管好自己咸吃萝卜淡操心,0
那是相当的快乐！哈哈哈,0,那是相当的快乐哈哈哈,0
这不是女性角度？说问题可以客观点,0,这不是女性角度说问题可以客观点,0
说快乐的都在死撑，还是太年轻,0,说快乐的都在死撑还是太年轻,0
你不是一个人在战斗,0,你不是一个人在战斗,0
快乐，但也没有多快乐。,0,快乐但也没有多快乐,0
反正我很快乐,0,反正我很快乐,0
笑死，我们学校结婚能加学分,0,笑死我们学校结婚能加学分,1
巧了，我们一个看法，所以在我没有一百万存款前不会结婚生娃,1,巧了我们一个看法所以在我没有一百万存款前不会结婚生娃,1
好好好,0,好好好,0
好好好,0,好好好,0
没有诶,0,没有诶,0
所以你也别去在乎国家和未来,0,所以你也别去在乎国家和未来,0
是专家,2,是专家,0.5
人多着呢,2,人多着呢,0
是呢,0,是呢,0
彩票是不可能的。,0,彩票是不可能的,0
就是这样,2,就是这样,0
还好网上出生率越来越高,0,还好网上出生率越来越高,0.5
是钱,0,是钱,0
快乐到无法自拔,0,快乐到无法自拔,0
事实就是人多啊,2,事实就是人多啊,0
最小的80后也已经34了，马上就生不动了,0,最小的80后也已经34了马上就生不动了,0
真的快乐,0,真的快乐,0
養娃成本越來越高，物價越來越高，房貸車貸越來越多，再加上養小孩子，他是“不穩定投資”養不好不行，養的好是財富,0,養娃成本越來越高物價越來越高房貸車貸越來越多再加上養小孩子他是不穩定投資養不好不行養的好是財富,0
遥遥领先,2,遥遥领先,1
首先是年龄，第二年龄，第三年龄,2,首先是年龄第二年龄第三年龄,0.5
跟穷人想象不到富豪的快乐一样，结婚的人想象不到单身的人的快乐,0,跟穷人想象不到富豪的快乐一样结婚的人想象不到单身的人的快乐,0
这话没毛病,0,这话没毛病,0
爱情？存在吗？,0,爱情存在吗,0.5
夹带私货那个，我只能说你真幸福,2,夹带私货那个我只能说你真幸福,1
问了一句你养？,0,问了一句你养,0
我爸就喜欢女孩。。,2,我爸就喜欢女孩,1
这可能是未来5年最高的数据,2,这可能是未来5年最高的数据,1
不想做生物爹有问题么？,0,不想做生物爹有问题么,0.5
结不起婚生不起娃,0,结不起婚生不起娃,0.5
太快乐了哈哈哈,0,太快乐了哈哈哈,0
有遗憾目前，但是烦恼不多，大多是工作压力,2,有遗憾目前但是烦恼不多大多是工作压力,1
还有三孩，这些人家里真有钱,0,还有三孩这些人家里真有钱,0
那可太牛逼了,2,那可太牛逼了,0
那可真是太快乐了,0,那可真是太快乐了,0
确实月入五千，房租水电1.2k，吃饭1.5k，一半多没了,0,确实月入五千房租水电12k吃饭15k一半多没了,0
无论是做单身的还是婚后的，都迟早得后悔,0,无论是做单身的还是婚后的都迟早得后悔,0
挺好的,2,挺好的,0.5
过于快乐,0,过于快乐,0
《我正在急诊接病人》,0,我正在急诊接病人,0
就是,2,就是,0
已投币,0,已投币,0
保护,0,保护,0
保护,0,保护,0
反正我这外来的没素质比有素质多，只希望没素质的人早早见鬼去,0,反正我这外来的没素质比有素质多只希望没素质的人早早见鬼去,0
好,2,好,0
期待数据,2,期待数据,0.5
结婚本是后半辈子在一起，当下年轻人大多数人到不了最后,2,结婚本是后半辈子在一起当下年轻人大多数人到不了最后,1
没啥好担心的 应得的,0,没啥好担心的 应得的,0
这不是废话，35岁快乐,0,这不是废话35岁快乐,0
这么多人结婚，是我没想到的,2,这么多人结婚是我没想到的,0
还是太多了,0,还是太多了,0
穷,0,穷,0
会遗憾，但不后悔,2,会遗憾但不后悔,0
真的吗,0,真的吗,0
我身为90后连婚都不结,0,我身为90后连婚都不结,0
废话，真的超快乐,0,废话真的超快乐,0
普通人对孩子最大的恩赐就是让他不要降临在这世上,0,普通人对孩子最大的恩赐就是让他不要降临在这世上,1
还是多,2,还是多,0
我不想让后代吃我吃过的苦，所以不想生,0,我不想让后代吃我吃过的苦所以不想生,0
离婚的也多,0,离婚的也多,1
为啥不降房价,0,为啥不降房价,0
急诊工作的我哭出声来,2,急诊工作的我哭出声来,0
那是相当相当的快乐,0,那是相当相当的快乐,0
人说的话哪有几句真的,0,人说的话哪有几句真的,0
挺快乐的，真的，想想生孩子就愁,0,挺快乐的真的想想生孩子就愁,0
把中国财富好好平均一下就生了,0,把中国财富好好平均一下就生了,0.5
别担心,2,别担心,0
宁缺毋滥,2,宁缺毋滥,0
夹带私货了吧,1,夹带私货了吧,0.5
卧槽 最穷还敢生三胎？怎么想的,0,卧槽 最穷还敢生三胎怎么想的,0
900万还少啊,0,900万还少啊,0.5
住房讲一些,0,住房讲一些,0
这么多,0,这么多,0
挺好的,2,挺好的,0.5
营销，房子，价值观,0,营销房子价值观,0.5
遥遥领先,2,遥遥领先,1
结结结，生生生，说话谁不会啊,0,结结结生生生说话谁不会啊,0
这个能信是猪,0,这个能信是猪,0
是无奈的,0,是无奈的,0
无比快乐,0,无比快乐,0
遥遥领先,2,遥遥领先,1
广东确实重男，但是绝对不轻女,0,广东确实重男但是绝对不轻女,0
笑死,0,笑死,0
能养活我自己 就已经很了不起了,0,能养活我自己 就已经很了不起了,1
